class_name,vitta_acc,rmga_acc,delta,support
PullUps,59.57777777777778,73.14444444444445,13.566666666666663,36
Swing,88.87777777777778,94.04444444444444,5.166666666666657,41
CleanAndJerk,38.544444444444444,43.144444444444446,4.600000000000001,34
Billiards,80.01111111111112,84.19999999999999,4.188888888888869,45
MilitaryParade,95.62222222222222,97.96666666666667,2.3444444444444485,38
Lunges,34.388888888888886,36.24444444444444,1.8555555555555543,42
PoleVault,53.93333333333333,55.55555555555556,1.6222222222222271,48
JumpRope,63.699999999999996,64.93333333333334,1.2333333333333414,45
YoYo,64.03333333333333,65.21111111111111,1.1777777777777771,38
HulaHoop,44.15555555555555,45.01111111111111,0.8555555555555614,38
PlayingPiano,32.62222222222223,33.333333333333336,0.7111111111111086,32
JugglingBalls,72.98888888888888,73.58888888888889,0.6000000000000085,37
PlayingViolin,60.74444444444445,61.12222222222223,0.37777777777778,30
PlayingTabla,94.0,94.30000000000001,0.30000000000001137,37
JumpingJack,87.69999999999999,87.69999999999999,0.0,37
GolfSwing,66.14444444444445,66.14444444444445,0.0,43
Diving,85.26666666666667,84.76666666666667,-0.5,46
ThrowDiscus,88.87777777777778,88.32222222222222,-0.5555555555555571,39
PushUps,63.53333333333333,62.82222222222222,-0.7111111111111086,32
RopeClimbing,71.23333333333333,70.38888888888889,-0.8444444444444485,39
SkateBoarding,55.86666666666667,54.93333333333333,-0.9333333333333371,36
TrampolineJumping,79.01111111111112,76.85555555555555,-2.1555555555555657,36
RockClimbingIndoor,60.86666666666666,58.57777777777778,-2.288888888888877,44
HighJump,21.922222222222224,19.5,-2.4222222222222243,37
HorseRace,70.17777777777778,66.37777777777778,-3.799999999999997,38
Biking,86.12222222222222,82.32222222222222,-3.799999999999997,44
WalkingWithDog,53.46666666666667,49.544444444444444,-3.9222222222222243,37
Punch,71.52222222222223,67.6,-3.9222222222222314,48
JavelinThrow,22.866666666666667,18.744444444444444,-4.122222222222224,35
TaiChi,66.65555555555555,62.233333333333334,-4.422222222222217,30
SalsaSpin,58.888888888888886,54.44444444444444,-4.444444444444443,40
BreastStroke,70.01111111111112,65.56666666666666,-4.444444444444457,30
TennisSwing,52.22222222222222,47.55555555555556,-4.666666666666664,50
VolleyballSpiking,76.83333333333333,72.05555555555556,-4.7777777777777715,35
BenchPress,79.85555555555555,74.77777777777777,-5.077777777777783,48
BaseballPitch,46.922222222222224,41.733333333333334,-5.18888888888889,45
Mixing,78.84444444444445,73.54444444444444,-5.300000000000011,42
Drumming,55.77777777777778,49.766666666666666,-6.011111111111113,48
PommelHorse,57.666666666666664,51.36666666666667,-6.299999999999997,37
Basketball,53.93333333333333,46.888888888888886,-7.044444444444444,41
SoccerJuggling,60.27777777777778,53.18888888888889,-7.088888888888889,47
Kayaking,73.27777777777777,65.95555555555556,-7.322222222222209,47
Skiing,88.61111111111111,81.13333333333334,-7.477777777777774,43
PlayingGuitar,82.41111111111111,74.07777777777778,-8.333333333333329,48
PizzaTossing,33.333333333333336,24.833333333333332,-8.500000000000004,34
Skijet,41.111111111111114,31.84444444444445,-9.266666666666666,30
HorseRiding,88.86666666666666,76.45555555555556,-12.411111111111097,59
Rowing,65.85555555555555,53.388888888888886,-12.466666666666669,41
Nunchucks,54.3111111111111,40.24444444444444,-14.066666666666663,45
Fencing,67.33333333333333,53.18888888888889,-14.144444444444439,33
